BaseID,Name,Level,HealthMax,ManaMax,Attack,Defence,AtkRate,SkillList,SkillParameters,Armor,Block,MagicDef,Gold,ExpGain,HealthRegen,ManaRegen,Speed
1,系统保留,1,1,0,1,1,1,,,0,0,0,1,1,0,0,3
2,荷依米,1,32,0,3,0,80,,,0,0,111,1,1,0,0,3
3,软泥怪,1,80,0,2,0,50,2,1,0,0,111,1,1,0,0,3
4,幽林鬼火,1,25,0,6,0,70,1,40,0,0,111,1,2,0,0,3
5,荷依米战士,1,42,0,5,1,90,,,0,0,111,1,2,0,0,3
6,倍荷玛,1,58,0,7,1,80,,,0,0,111,1,3,0,0,3
7,复活的死者,1,45,0,15,0,100,3,10,0,0,111,1,3,0,0,3
8,倍荷玛战士,2,80,0,11,3,90,,,0,0,111,2,4,0,0,3
9,嗜血死者,2,75,0,18,1,100,"3,4","15,2",0,0,111,3,5,0,0,3
10,寒冰软泥怪,2,300,0,2,0,30,"1,2","60,2",0,0,111,2,4,0,0,3
11,荷依米贵族,3,101,0,13,3,75,5,25,0,0,111,3,5,0,0,3
12,丛林幽影,2,122,0,11,2,185,6,50,0,0,111,3,6,0,0,3
13,流浪法师,2,96,0,12,4,100,7,30,0,0,111,3,6,0,0,3
14,运河盗匪,3,135,0,22,6,240,,,0,0,111,4,8,0,0,3
15,倍荷玛拉,3,157,0,19,8,80,,,0,0,111,4,7,0,0,3
16,倍荷玛贵族,4,178,0,20,11,75,5,25,0,0,111,4,8,0,0,3
17,剧毒死者,3,115,0,27,5,100,"2,3","3,20",0,0,111,4,8,0,0,3
18,有翼噩梦,3,184,0,23,5,130,6,25,0,0,111,4,8,0,0,3
19,运河盗匪射手,4,160,0,28,8,120,8,,0,0,111,5,12,0,0,3
20,大哥布林,4,245,0,26,12,110,,,0,0,111,5,13,0,0,3
21,青蓝幼蝠,4,138,0,35,8,140,6,35,0,0,111,6,14,0,0,3
22,倍荷玛拉战士,4,288,0,28,15,90,,,0,0,111,6,15,0,0,3
23,霍尔托,8,3600,0,144,87,125,"9,10","15-30-20,100-100",0,0,111,500,2500,0,0,3
24,训蛇士,6,1725,0,122,55,150,11,,0,0,111,80,450,0,0,3
25,运河盗匪精英,5,180,0,32,15,197,11,,0,0,111,8,21,0,0,3
26,恶魔种子,4,275,0,29,17,60,4,3,0,0,111,6,16,0,0,3
27,灵魂之火,4,107,0,45,15,82,1,160,0,0,111,7,17,0,0,3
28,守墓者,4,187,0,40,20,110,3,20,0,0,111,7,19,0,0,3
29,守墓将军,5,270,0,50,25,135,"3,5","100,20",0,0,111,9,25,0,0,3
30,爆炎流浪法师,4,310,0,33,14,100,12,60,0,0,111,7,18,0,0,3
31,青蓝蝠,5,232,0,40,23,160,6,30,0,0,111,8,20,0,0,3
32,隐墓剑,5,210,0,52,16,240,"3,13","10,20-2.5",0,0,111,8,22,0,0,3
33,剥壳凹槽,6,999,0,66,11,111,"9,14,15","10-60-10,50-5,200-5-80",0,0,111,150,600,0,0,3
34,姆伊森神射手,7,632,0,140,40,210,8,,0,0,111,13,47,0,0,3
35,废弃夜魇战兵,5,268,0,45,27,150,,,0,0,111,9,24,0,0,3
36,废弃夜魇法兵,5,373,0,42,24,100,7,120,0,0,111,9,26,0,0,3
37,废弃夜魇甲兵,5,550,0,40,28,90,14,25-3,0,0,111,10,28,0,0,3
38,狂怒野兽,6,538,0,51,36,95,"11,13",15-2,0,0,111,10,30,0,0,3
39,墓穴亡影,6,375,0,63,24,150,"3,6","18,50",0,0,111,10,32,0,0,3
40,嗜血守墓者,6,296,0,68,38,150,"3,4","24,1.5",0,0,111,11,34,0,0,3
41,封尘古蝠,6,520,0,90,10,150,"2,6","5,30",0,0,111,11,36,0,0,3
42,夜魇战兵,11,1873,0,388,185,270,13,15-1.75,0,0,111,38,175,0,0,3
43,夜魇法兵,11,2284,0,334,217,100,"7,10,12","360,250-150&1,240",0,0,111,39,190,0,0,3
44,夜魇甲兵,11,3111,0,289,235,140,"14,15","30-25,333-5-80",0,0,111,40,200,0,0,3
45,恶魔之芽,6,299,0,77,43,60,4,4,0,0,111,10,38,0,0,3
46,爬行容貌,8,2222,0,111,44,111,"9,15","20-50-20,2000-10-100",0,0,111,300,1600,0,0,3
47,地狱火,18,2222,0,0,0,111,"16,17,18","3-12000,900",0,0,100,2222,99999,0,0,3
48,百战佣兵,7,1160,0,107,55,150,"6,13","20,15-2.5",0,0,111,100,300,0,0,3
49,封尘法师,7,452,0,69,29,100,19,275-2,0,0,111,11,40,0,0,3
50,狂怒兽战士,7,768,0,70,55,115,"11,13",15-3,0,0,111,11,42,0,0,3
51,哥布林狂战士,6,666,0,73,38,120,,,0,0,111,11,35,0,0,3
52,倍荷玛拉贵族,7,274,0,81,48,100,5,25,0,0,111,12,40,0,0,3
53,倍荷玛森,7,597,0,83,56,110,15,120-3-60,0,0,111,12,41,0,0,3
54,有翼梦魇,7,700,0,95,40,165,6,30,0,0,111,12,43,0,0,3
55,倍荷玛森战士,7,666,0,101,70,125,15,180-3-80,0,0,111,13,45,0,0,3
56,霍尔托（封印）,7,1800,0,124,67,128,"9,10","10-20-20,100-100",0,0,111,200,1800,0,0,3
57,姆伊森强剑士,7,810,0,112,66,200,11,,0,0,111,13,48,0,0,3
58,护卫魔导士,8,525,0,128,74,100,"7,12","500,90&1",0,0,111,0,0,0,0,3
59,守备剑客,7,435,0,125,79,250,13,20-2.0,0,0,111,0,0,0,0,3
60,重甲战士,8,977,0,108,101,135,14,10-3,0,0,111,0,0,0,0,3
61,贵族骑兵,8,1188,0,165,65,185,,,0,0,111,0,0,0,0,3
62,百战佣兵,7,1160,0,107,55,150,"6,13","20,15-2.5",0,0,111,0,0,0,0,3
