BaseID,Name,DefaultParams,Description,mana_cost,SkillType,Delivery,targetpermit,effect_list
1,寒霜攻击,a:1,攻击中带有冰寒的力量，将对手缓慢冻结\n第一次命中开始对手攻速降低\v%,0,Passive,Contact,"Ally,Enemy","{'寒霜攻击':[1]}"
2,腐蚀毒素,a:3,攻击时释放出毒素缓慢腐蚀敌人的身躯\n每回合攻击额外造成\v点无视防御的物理伤害,0,Passive,Contact,"2,3","{'腐蚀毒素':[1]}"
3,亡灵协同,a:7,弱小亡灵们总是聚在一起展现出强大的协同作战能力\n地图上每有一只除自身外的亡灵，便增加\v%生命,,,,,
4,嗜血本能,a:2,对鲜血的渴望让意志变得越发的疯狂\n根据对手战前已损失生命比例，每1%提升自身\v%的攻速,0,Passive,Self,Self,{'嗜血本能':[1]}
5,上位威压,a:11,周身时刻散发出强大的威压，震慑弱小者\n每比对手高出一级，便在先前基础上进一步削弱对手\v%的攻防,0,Aura,Area,Enemy,"{'上位威压attack':[1],'上位威压defence':[1]}"
6,闪避,255:225:100,身形飘忽不定，闪躲敌人的攻击\n有\v%概率闪避敌人的攻击,0,Passive,Self,"Self","{'闪避':[1]}"
7,奥术飞弹,a:4,[txt]汇聚周身魔力化为奥术飞弹射出\n连续三回合不攻击，每回合发射奥术飞弹造成\v点魔法伤害\n多重强化：形态变换——奥术激流，无视魔抗,0,Active,Target,Enemy,{'奥术飞弹':[1]}
8,精准射击,255:50:200,在远处便对敌人进行精准射击，拒敌于千里之外\n当目标处于其可见直线上时每一步都能发动一回合普攻,,,,,
9,领主光环,a:11,每一个领主生物都无时无刻不散发着王者之气，震慑宵小\n削弱对手\v%的攻防与\v%攻速，并自带\v%的免伤,,,,,
10,风暴,a:4,操纵四周空气流动，产生一个持续五回合的风暴\n风暴每回合造成\v点魔法伤害并在期间降低对方\v%攻速,,,,,
11,野兽直觉,128:0:255,野兽在被攻击时将会对攻击者发起疯狂的反击\n对手每回合攻击都会引起自身的一次反击（该攻击不会落空）,,,,,
12,炎爆术,a:9,[txt]释放出巨大的火球轰击目标\n连续七回合不攻击，每回合发动炎爆造成\v点魔法伤害\n多重强化：每5次施法触发一次爆轰，眩晕对手一回合,,,,,
13,致命一击,a:2,以惊人的力量攻击敌人的薄弱之处\n\v%概率造成\v倍暴击，第一回合必定暴击,,,,,
14,皮肤硬化,a:7,以强大的硬壳皮肤抵挡任何物理攻击的侵袭\n减少\v%受到的物理伤害，之后再减少\v点物理伤害,,,,,
15,雷霆一击,64:255:64,汇集全力轰击地面，使敌人重创并难以控制自身\n造成\v点魔法伤害，并在接下来\v回合中减少对方\v%攻速,,,,,
16,烈焰之拳,a:9,凝聚着地狱烈焰的一拳，造成极大的破坏\n连续\v回合攻击附带\v点火焰魔法伤害,,,,,
17,永恒献祭,255:55:55,地狱烈焰环绕周身，时刻烧灼着敌人\n每回合持续造成\v点纯粹伤害,,,,,
18,魔法免疫,a:7,隔绝抵挡一切魔力元素的侵袭，金刚不坏\n免疫魔法伤害及其他魔法效果,,,,,
19,次级沟壑,128:128:64,利用土元素魔法震撼大地，改变地貌\n造成\v点魔法伤害及\v回合眩晕，使对方身后一格变为沟壑地形,,,,,
20,绝境反击,128:128:64,受到致死伤害时立刻发动一次不会落空的反击，一场战斗最多发动一次\n反击造成伤害的\v%会转化为自身生命,,,,,
21,过载,50:255:240,使用电能刺激自身激发出全部潜力\n每回合消耗自身\v点生命，提高\v%攻速与\v%减伤,,,,,
22,雷霆之击,0:180:200,召唤来自大自然中的电荷能量打击敌人\n释放出一个雷霆力场，连续4回合造成\v点魔法伤害,,,,,
23,静电场,a:4,用魔力引发空气中的电荷爆裂\n施放技能时造成敌人当前生命\v%的纯粹伤害,,,,,
24,凤凰冲击,a:12,汇聚周身火元素化身为凤凰先发制人靠近敌人\n获取先手并造成\v点魔法伤害，战始前发动且不占用回合数。,,,,,
25,撕裂伤口,a:12,新鲜伤口引来了清道夫，令敌人在\v回合内减少\v%攻速\n期间造成的普攻伤害会吸取\v%治疗自身（减速可叠加）,,,,,
