BaseID,Name,HealthMax,Attack,Defence,Gold
1000,勇士,400,10,10,0
1001,绿色史莱姆,35,18,1,1
1002,红色史莱姆,45,20,2,2
1003,大史莱姆,130,60,3,8
1004,史莱姆人（幽灵）,320,140,20,30
1005,史莱姆王,360,310,20,40
1006,小蝙蝠,35,38,3,3
1007,大蝙蝠,60,100,8,12
1008,吸血蝙蝠,200,390,90,50
1009,吸血鬼,444,199,66,144
1010,骷髅人,50,42,6,6
1011,骷髅士兵,55,52,12,8
1012,骷髅队长,100,65,15,30
1013,鬼战士,220,180,30,35
1014,初级法师,60,32,8,5
1015,高级法师,100,95,30,22
1016,兽人,260,85,5,18
1017,兽人武士,320,120,15,30
1018,初级卫兵,50,48,22,12
1019,中级卫兵,100,180,110,50
1020,高级卫兵,180,460,360,200
1021,石头人,20,100,68,28
1022,战士,210,200,65,45
1023,骑士,160,230,105,65
1024,骑士队长,120,150,50,100
1025,黑暗骑士,180,430,210,120
1026,双手剑士,100,680,50,55
1027,初级巫师,220,370,110,80
1028,高级巫师,200,380,130,90
1029,大乌贼,1200,180,20,100
1030,魔龙,1500,600,250,800
1031,魔法警卫,230,450,100,100
1032,大法师,4500,560,310,1000
1033,魔王,8000,5000,1000,500
1034,魔王（被封印后）,800,500,100,500
1035,魔王（仅存在于flash汉化版）,5000,1580,190,500
